date,open,low,high,close,volume
2016-01-04,54.31999969482422,53.38999938964844,54.79999923706055,52.712890625,53778000
2016-01-05,54.93000030517578,54.540000915527344,55.38999938964844,52.953369140625,34079700
2016-01-06,54.31999969482422,53.63999938964844,54.400001525878906,51.991451263427734,39518900
2016-01-07,52.70000076293945,52.06999969482422,53.4900016784668,50.18305206298828,56564900
2016-01-08,52.369998931884766,52.150001525878906,53.279998779296875,50.33696365356445,48754000
2016-01-11,52.5099983215332,51.459999084472656,52.849998474121094,50.308101654052734,36943800
2016-01-12,52.7599983215332,52.060001373291016,53.099998474121094,50.76982116699219,36095500
2016-01-13,53.79999923706055,51.29999923706055,54.06999969482422,49.67323684692383,66883600
2016-01-14,52.0,51.56999969482422,53.41999816894531,51.087257385253906,52381900
2016-01-15,51.310001373291016,50.34000015258789,51.970001220703125,49.047996520996094,70739100
2016-01-19,51.47999954223633,50.060001373291016,51.68000030517578,48.63437271118164,43564500
2016-01-20,49.97999954223633,49.099998474121094,51.380001068115234,48.855613708496094,63273000
2016-01-21,51.0,50.29999923706055,51.58000183105469,48.55741882324219,40191200
2016-01-22,51.40999984741211,51.2599983215332,52.33000183105469,50.298484802246094,37555800
2016-01-25,51.939998626708984,51.650001525878906,52.650001525878906,49.81752395629883,34707700
2016-01-26,51.790000915527344,51.54999923706055,52.439998626708984,50.18305206298828,28900800
2016-01-27,52.0099983215332,51.02000045776367,52.20000076293945,49.26923751831055,36775200
2016-01-28,51.86000061035156,51.25,52.209999084472656,50.077247619628906,62513800
2016-01-29,54.72999954223633,54.0,55.09000015258789,52.991844177246094,83611700
2016-02-01,54.880001068115234,54.5,55.09000015258789,52.626312255859375,44208500
2016-02-02,54.16999816894531,52.650001525878906,54.2599983215332,50.981441497802734,56313800
2016-02-03,53.25,51.2599983215332,53.38999938964844,50.17343521118164,57559800
2016-02-04,52.099998474121094,51.369998931884766,52.810001373291016,50.01953125,46987100
2016-02-05,51.939998626708984,49.560001373291016,52.0,48.249610900878906,62009000
2016-02-08,49.54999923706055,48.189998626708984,49.56999969482422,47.528167724609375,59290500
2016-02-09,49.02000045776367,48.66999816894531,50.2400016784668,47.40312194824219,46740500
2016-02-10,49.88999938964844,49.52000045776367,50.38999938964844,47.816741943359375,38237000
2016-02-11,48.68000030517578,48.5099983215332,50.11000061035156,47.797508239746094,48878600
2016-02-12,50.25,49.75,50.68000030517578,48.576656341552734,34243300
2016-02-16,50.900001525878906,50.130001068115234,51.09000015258789,49.49703598022461,37291200
2016-02-17,51.4900016784668,51.45000076293945,52.77000045776367,50.78556442260742,40789000
2016-02-18,52.33000183105469,52.099998474121094,52.95000076293945,50.562744140625,27176000
2016-02-19,51.970001220703125,51.529998779296875,52.279998779296875,50.20427703857422,33559100
2016-02-22,52.279998779296875,52.279998779296875,53.0,51.00839614868164,25008300
2016-02-23,52.34000015258789,50.97999954223633,52.369998931884766,49.584232330322266,28895300
2016-02-24,50.689998626708984,50.20000076293945,51.5,49.75862121582031,33014500
2016-02-25,51.72999954223633,50.61000061035156,52.099998474121094,50.47554397583008,26939500
2016-02-26,52.599998474121094,51.099998474121094,52.68000030517578,49.70048904418945,35975900
2016-02-29,51.349998474121094,50.65999984741211,51.650001525878906,49.29358673095703,31654000
2016-03-01,50.970001220703125,50.91999816894531,52.59000015258789,50.940582275390625,33024500
2016-03-02,52.40999984741211,52.15999984741211,52.959999084472656,51.299041748046875,29289900
2016-03-03,52.970001220703125,51.779998779296875,52.970001220703125,50.717750549316406,24427800
2016-03-04,52.400001525878906,51.709999084472656,52.45000076293945,50.4077262878418,33034200
2016-03-07,51.560001373291016,50.58000183105469,51.79999923706055,49.43890380859375,38407800
2016-03-08,50.79999923706055,50.599998474121094,52.130001068115234,50.039581298828125,33835100
2016-03-09,51.88999938964844,51.86000061035156,52.849998474121094,51.19247055053711,28251600
2016-03-10,52.93000030517578,51.15999984741211,52.939998626708984,50.42710494995117,38387800
2016-03-11,53.0,52.380001068115234,53.06999969482422,51.41530227661133,32275700
2016-03-14,52.709999084472656,52.630001068115234,53.59000015258789,51.51218032836914,24083600
2016-03-15,52.75,52.7400016784668,53.59000015258789,51.91908645629883,21104800
2016-03-16,53.45000076293945,53.400001525878906,54.599998474121094,52.655391693115234,31691700
2016-03-17,54.209999084472656,54.0,55.0,52.955726623535156,28223900
2016-03-18,54.91999816894531,53.45000076293945,54.970001220703125,51.82221221923828,67625500
2016-03-21,53.25,52.93000030517578,53.93000030517578,52.1806755065918,23925700
2016-03-22,53.61000061035156,53.459999084472656,54.25,52.38412094116211,23124100
2016-03-23,54.11000061035156,53.7400016784668,54.2400016784668,52.2872428894043,20129000
2016-03-24,53.84000015258789,53.72999954223633,54.33000183105469,52.51976013183594,19950000
2016-03-28,54.209999084472656,53.33000183105469,54.290000915527344,51.87064743041992,17025100
2016-03-29,53.65999984741211,53.45000076293945,54.86000061035156,53.00416564941406,23924300
2016-03-30,54.93000030517578,54.900001525878906,55.63999938964844,53.33356475830078,23008300
2016-03-31,54.95000076293945,54.86000061035156,55.59000015258789,53.50794982910156,26360500
